"k_hat","m"
31,100
25,100
19,100
28,100
37,100
22,100
10,100
23,100
22,100
31,100
31,100
22,100
31,100
21,100
32,100
24,100
19,100
23,100
24,100
22,100
24,100
31,100
21,100
26,100
33,100
18,100
36,100
16,100
28,100
24,100
9,100
27,100
36,100
39,100
15,100
18,100
24,100
26,100
17,100
26,100
21,100
21,100
34,100
29,100
25,100
19,100
30,100
25,100
11,100
25,100
33,100
27,100
12,100
32,100
26,100
36,100
34,100
27,100
37,100
31,100
13,100
26,100
37,100
27,100
19,100
11,100
32,100
25,100
29,100
23,100
8,100
24,100
26,100
37,100
13,100
24,100
25,100
15,100
24,100
28,100
35,100
23,100
13,100
27,100
40,100
26,100
27,100
26,100
26,100
23,100
20,100
36,100
25,100
23,100
22,100
32,100
23,100
31,100
29,100
25,100
21,100
17,100
36,100
25,100
21,100
36,100
15,100
20,100
25,100
36,100
20,100
23,100
26,100
32,100
18,100
25,100
38,100
16,100
14,100
19,100
27,100
18,100
15,100
22,100
24,100
14,100
31,100
40,100
11,100
26,100
28,100
16,100
22,100
18,100
25,100
25,100
23,100
34,100
14,100
33,100
21,100
29,100
27,100
20,100
26,100
27,100
35,100
32,100
20,100
29,100
19,100
35,100
29,100
19,100
28,100
18,100
28,100
9,100
29,100
45,100
26,100
21,100
14,100
47,100
23,100
31,100
30,100
32,100
26,100
8,100
25,100
25,100
26,100
28,100
12,100
32,100
35,100
9,100
36,100
12,100
14,100
15,100
24,100
33,100
24,100
30,100
17,100
9,100
22,100
24,100
18,100
32,100
20,100
27,100
20,100
36,100
29,100
31,100
31,100
23,100
27,100
44,100
18,100
38,100
19,100
32,100
17,100
22,100
22,100
33,100
25,100
22,100
29,100
39,100
38,100
28,100
25,100
19,100
30,100
48,100
15,100
43,100
25,100
35,100
20,100
14,100
19,100
24,100
24,100
17,100
21,100
20,100
14,100
40,100
23,100
34,100
24,100
29,100
27,100
28,100
21,100
31,100
15,100
20,100
19,100
296,1000
277,1000
238,1000
253,1000
276,1000
307,1000
207,1000
263,1000
228,1000
251,1000
214,1000
229,1000
259,1000
265,1000
244,1000
296,1000
231,1000
261,1000
253,1000
244,1000
233,1000
204,1000
263,1000
281,1000
180,1000
204,1000
253,1000
242,1000
225,1000
249,1000
251,1000
292,1000
201,1000
251,1000
236,1000
244,1000
221,1000
280,1000
245,1000
212,1000
261,1000
288,1000
229,1000
222,1000
228,1000
222,1000
233,1000
221,1000
249,1000
260,1000
196,1000
298,1000
189,1000
248,1000
255,1000
244,1000
282,1000
221,1000
276,1000
302,1000
258,1000
243,1000
256,1000
223,1000
270,1000
200,1000
234,1000
241,1000
273,1000
268,1000
255,1000
235,1000
202,1000
252,1000
165,1000
291,1000
225,1000
283,1000
238,1000
209,1000
230,1000
235,1000
239,1000
284,1000
283,1000
257,1000
251,1000
242,1000
230,1000
287,1000
240,1000
290,1000
237,1000
274,1000
300,1000
320,1000
277,1000
247,1000
214,1000
229,1000
242,1000
218,1000
221,1000
239,1000
258,1000
284,1000
224,1000
225,1000
286,1000
279,1000
298,1000
244,1000
249,1000
260,1000
210,1000
315,1000
232,1000
261,1000
249,1000
210,1000
268,1000
232,1000
208,1000
227,1000
257,1000
274,1000
224,1000
252,1000
263,1000
257,1000
255,1000
241,1000
293,1000
203,1000
202,1000
207,1000
222,1000
239,1000
263,1000
248,1000
218,1000
207,1000
235,1000
268,1000
240,1000
270,1000
254,1000
208,1000
268,1000
219,1000
232,1000
250,1000
247,1000
243,1000
242,1000
203,1000
218,1000
202,1000
215,1000
231,1000
257,1000
286,1000
252,1000
226,1000
240,1000
233,1000
273,1000
219,1000
219,1000
212,1000
240,1000
213,1000
242,1000
196,1000
279,1000
247,1000
204,1000
251,1000
267,1000
226,1000
268,1000
267,1000
216,1000
231,1000
215,1000
246,1000
272,1000
257,1000
247,1000
283,1000
237,1000
285,1000
227,1000
223,1000
267,1000
225,1000
205,1000
237,1000
271,1000
237,1000
223,1000
243,1000
239,1000
257,1000
241,1000
244,1000
255,1000
245,1000
270,1000
267,1000
211,1000
267,1000
268,1000
241,1000
250,1000
264,1000
218,1000
226,1000
221,1000
258,1000
214,1000
281,1000
260,1000
255,1000
245,1000
219,1000
281,1000
261,1000
239,1000
209,1000
256,1000
264,1000
248,1000
235,1000
273,1000
192,1000
239,1000
226,1000
272,1000
252,1000
265,1000
243,1000
247,1000
237,1000
213,1000
225,1000
262,1000
302,1000
252,1000
266,1000
268,1000
244,1000
248,1000
247,1000
226,1000
251,1000
215,1000
223,1000
227,1000
230,1000
236,1000
229,1000
295,1000
279,1000
220,1000
226,1000
238,1000
211,1000
282,1000
280,1000
212,1000
245,1000
228,1000
222,1000
234,1000
272,1000
238,1000
217,1000
245,1000
259,1000
245,1000
280,1000
220,1000
247,1000
262,1000
261,1000
263,1000
244,1000
241,1000
201,1000
267,1000
273,1000
270,1000
229,1000
237,1000
204,1000
243,1000
267,1000
253,1000
270,1000
209,1000
299,1000
248,1000
225,1000
271,1000
261,1000
219,1000
242,1000
225,1000
217,1000
252,1000
241,1000
262,1000
241,1000
231,1000
289,1000
286,1000
228,1000
234,1000
227,1000
230,1000
272,1000
204,1000
319,1000
261,1000
240,1000
256,1000
249,1000
252,1000
242,1000
276,1000
240,1000
247,1000
241,1000
229,1000
235,1000
250,1000
236,1000
264,1000
268,1000
239,1000
260,1000
268,1000
255,1000
288,1000
277,1000
269,1000
212,1000
244,1000
228,1000
268,1000
243,1000
240,1000
251,1000
241,1000
237,1000
248,1000
219,1000
304,1000
276,1000
239,1000
237,1000
162,1000
237,1000
232,1000
227,1000
257,1000
223,1000
279,1000
233,1000
223,1000
252,1000
189,1000
218,1000
231,1000
258,1000
246,1000
214,1000
233,1000
243,1000
204,1000
258,1000
274,1000
205,1000
251,1000
252,1000
262,1000
234,1000
269,1000
266,1000
239,1000
238,1000
271,1000
237,1000
292,1000
220,1000
227,1000
233,1000
269,1000
265,1000
256,1000
276,1000
227,1000
214,1000
218,1000
256,1000
231,1000
240,1000
248,1000
252,1000
247,1000
236,1000
281,1000
260,1000
262,1000
281,1000
253,1000
265,1000
269,1000
245,1000
198,1000
244,1000
215,1000
242,1000
262,1000
201,1000
214,1000
256,1000
264,1000
261,1000
248,1000
215,1000
214,1000
259,1000
247,1000
253,1000
213,1000
261,1000
247,1000
214,1000
241,1000
227,1000
201,1000
221,1000
230,1000
225,1000
213,1000
255,1000
225,1000
260,1000
221,1000
208,1000
273,1000
216,1000
218,1000
223,1000
218,1000
238,1000
197,1000
217,1000
224,1000
231,1000
241,1000
200,1000
251,1000
277,1000
261,1000
205,1000
296,1000
256,1000
233,1000
237,1000
243,1000
236,1000
294,1000
263,1000
288,1000
252,1000
240,1000
213,1000
222,1000
266,1000
294,1000
220,1000
238,1000
214,1000
245,1000
213,1000
251,1000
242,1000
276,1000
232,1000
196,1000
234,1000
259,1000
246,1000
235,1000
245,1000
225,1000
219,1000
253,1000
237,1000
215,1000
263,1000
247,1000
275,1000
255,1000
236,1000
276,1000
254,1000
223,1000
241,1000
209,1000
256,1000
201,1000
205,1000
224,1000
255,1000
216,1000
232,1000
242,1000
267,1000
248,1000
255,1000
238,1000
207,1000
229,1000
266,1000
230,1000
273,1000
240,1000
232,1000
247,1000
245,1000
244,1000
229,1000
193,1000
258,1000
225,1000
253,1000
248,1000
306,1000
271,1000
251,1000
202,1000
297,1000
231,1000
244,1000
261,1000
204,1000
253,1000
204,1000
209,1000
197,1000
175,1000
225,1000
239,1000
240,1000
242,1000
224,1000
217,1000
240,1000
255,1000
230,1000
257,1000
217,1000
227,1000
240,1000
248,1000
272,1000
254,1000
294,1000
241,1000
221,1000
235,1000
262,1000
258,1000
234,1000
228,1000
232,1000
247,1000
270,1000
277,1000
272,1000
228,1000
241,1000
230,1000
236,1000
247,1000
282,1000
231,1000
235,1000
238,1000
250,1000
239,1000
297,1000
219,1000
218,1000
242,1000
260,1000
