"k_hat","m"
12,1000
20,1000
16,1000
18,1000
10,1000
14,1000
9,1000
14,1000
5,1000
11,1000
16,1000
13,1000
13,1000
9,1000
14,1000
20,1000
21,1000
7,1000
9,1000
10,1000
10,1000
10,1000
20,1000
6,1000
14,1000
15,1000
15,1000
14,1000
11,1000
26,1000
15,1000
18,1000
16,1000
12,1000
17,1000
15,1000
12,1000
12,1000
12,1000
9,1000
16,1000
24,1000
12,1000
15,1000
15,1000
10,1000
14,1000
21,1000
18,1000
15,1000
14,1000
6,1000
12,1000
14,1000
16,1000
17,1000
14,1000
14,1000
7,1000
8,1000
14,1000
14,1000
10,1000
16,1000
11,1000
9,1000
16,1000
12,1000
9,1000
13,1000
14,1000
18,1000
15,1000
20,1000
22,1000
14,1000
12,1000
12,1000
13,1000
19,1000
13,1000
7,1000
22,1000
20,1000
12,1000
12,1000
18,1000
9,1000
15,1000
9,1000
12,1000
15,1000
10,1000
13,1000
4,1000
11,1000
16,1000
14,1000
17,1000
5,1000
10,1000
6,1000
22,1000
13,1000
12,1000
12,1000
10,1000
22,1000
13,1000
23,1000
11,1000
18,1000
11,1000
13,1000
10,1000
15,1000
16,1000
11,1000
15,1000
8,1000
15,1000
21,1000
14,1000
12,1000
12,1000
11,1000
13,1000
14,1000
18,1000
16,1000
10,1000
13,1000
17,1000
26,1000
18,1000
14,1000
11,1000
18,1000
11,1000
11,1000
13,1000
8,1000
13,1000
22,1000
13,1000
7,1000
13,1000
8,1000
14,1000
17,1000
25,1000
13,1000
13,1000
8,1000
20,1000
6,1000
18,1000
17,1000
12,1000
18,1000
23,1000
12,1000
24,1000
23,1000
17,1000
15,1000
14,1000
14,1000
21,1000
18,1000
19,1000
30,1000
13,1000
14,1000
9,1000
17,1000
11,1000
11,1000
13,1000
12,1000
18,1000
14,1000
11,1000
6,1000
11,1000
11,1000
13,1000
22,1000
14,1000
18,1000
16,1000
22,1000
10,1000
10,1000
19,1000
20,1000
9,1000
18,1000
28,1000
14,1000
19,1000
16,1000
12,1000
13,1000
8,1000
14,1000
11,1000
14,1000
13,1000
13,1000
17,1000
28,1000
19,1000
13,1000
11,1000
14,1000
13,1000
15,1000
10,1000
13,1000
20,1000
10,1000
21,1000
15,1000
18,1000
11,1000
19,1000
13,1000
18,1000
19,1000
13,1000
25,1000
14,1000
11,1000
20,1000
4,1000
16,1000
19,1000
9,1000
10,1000
18,1000
18,1000
15,1000
9,1000
13,1000
11,1000
17,1000
17,1000
19,1000
15,1000
10,1000
16,1000
11,1000
18,1000
17,1000
8,1000
15,1000
11,1000
15,1000
7,1000
12,1000
21,1000
14,1000
16,1000
16,1000
4,1000
20,1000
12,1000
9,1000
16,1000
16,1000
8,1000
24,1000
18,1000
14,1000
9,1000
15,1000
12,1000
13,1000
10,1000
12,1000
24,1000
20,1000
8,1000
10,1000
9,1000
14,1000
11,1000
11,1000
8,1000
15,1000
11,1000
17,1000
18,1000
8,1000
15,1000
14,1000
18,1000
24,1000
10,1000
14,1000
15,1000
14,1000
10,1000
17,1000
8,1000
21,1000
14,1000
20,1000
25,1000
12,1000
19,1000
9,1000
15,1000
9,1000
15,1000
12,1000
12,1000
17,1000
16,1000
22,1000
13,1000
15,1000
13,1000
8,1000
26,1000
15,1000
17,1000
10,1000
12,1000
13,1000
14,1000
17,1000
19,1000
11,1000
18,1000
12,1000
10,1000
13,1000
15,1000
14,1000
17,1000
19,1000
11,1000
11,1000
20,1000
13,1000
16,1000
9,1000
16,1000
13,1000
14,1000
15,1000
11,1000
10,1000
8,1000
18,1000
16,1000
17,1000
4,1000
10,1000
19,1000
14,1000
16,1000
20,1000
9,1000
14,1000
13,1000
9,1000
13,1000
8,1000
16,1000
16,1000
18,1000
11,1000
13,1000
16,1000
17,1000
15,1000
17,1000
18,1000
19,1000
15,1000
12,1000
18,1000
20,1000
19,1000
15,1000
13,1000
14,1000
23,1000
13,1000
14,1000
7,1000
4,1000
13,1000
16,1000
22,1000
9,1000
19,1000
12,1000
50,10000
45,10000
34,10000
43,10000
38,10000
54,10000
26,10000
48,10000
41,10000
45,10000
46,10000
39,10000
43,10000
27,10000
41,10000
30,10000
39,10000
36,10000
52,10000
43,10000
32,10000
43,10000
32,10000
45,10000
53,10000
37,10000
48,10000
49,10000
42,10000
29,10000
48,10000
48,10000
45,10000
40,10000
31,10000
31,10000
34,10000
40,10000
31,10000
44,10000
27,10000
32,10000
39,10000
31,10000
25,10000
37,10000
59,10000
26,10000
43,10000
27,10000
34,10000
35,10000
42,10000
52,10000
42,10000
44,10000
38,10000
50,10000
44,10000
42,10000
30,10000
41,10000
45,10000
40,10000
29,10000
52,10000
46,10000
33,10000
34,10000
43,10000
36,10000
36,10000
44,10000
35,10000
43,10000
37,10000
36,10000
44,10000
30,10000
58,10000
52,10000
30,10000
40,10000
40,10000
35,10000
41,10000
46,10000
35,10000
36,10000
46,10000
37,10000
52,10000
34,10000
33,10000
28,10000
40,10000
29,10000
48,10000
47,10000
33,10000
40,10000
23,10000
32,10000
42,10000
34,10000
33,10000
46,10000
39,10000
45,10000
43,10000
44,10000
39,10000
37,10000
29,10000
32,10000
39,10000
33,10000
31,10000
43,10000
32,10000
46,10000
34,10000
46,10000
31,10000
33,10000
31,10000
34,10000
51,10000
52,10000
31,10000
42,10000
47,10000
44,10000
29,10000
37,10000
47,10000
44,10000
34,10000
30,10000
43,10000
42,10000
41,10000
41,10000
38,10000
50,10000
42,10000
42,10000
38,10000
37,10000
39,10000
36,10000
31,10000
41,10000
38,10000
35,10000
36,10000
36,10000
53,10000
45,10000
47,10000
39,10000
29,10000
34,10000
30,10000
46,10000
44,10000
42,10000
46,10000
41,10000
34,10000
35,10000
45,10000
40,10000
38,10000
46,10000
49,10000
35,10000
43,10000
35,10000
40,10000
43,10000
42,10000
44,10000
40,10000
40,10000
50,10000
41,10000
50,10000
41,10000
32,10000
45,10000
27,10000
