"bound","pi_hat","m"
"DKW",0.608325540447587,10
"DKW",0.200851560620691,10
"DKW",0.259048291888831,10
"DKW",0.325189325086142,10
"DKW",0.816694183355555,10
"DKW",0.822383318212551,10
"DKW",0.255277545450589,10
"DKW",0.807175738149358,10
"DKW",0.803989772904433,10
"DKW",0.747521804920046,10
"DKW",0.97011367014687,10
"DKW",0.265493096662954,10
"DKW",0.526203504894586,10
"DKW",0.101661845276732,10
"DKW",0.612902684634266,10
"DKW",0.927437250096837,10
"DKW",0.697963151102319,10
"DKW",0.739203935296723,10
"DKW",0.68342016841095,10
"DKW",0.612112466059301,10
"DKW",0.443541262826382,10
"DKW",0.670071601206575,10
"DKW",0.885476880877871,10
"DKW",0.665998319021568,10
"DKW",0.993715802103239,10
"DKW",1,10
"DKW",0.520504234396774,10
"DKW",0.808729293465017,10
"DKW",0.824645979283816,10
"DKW",0.822270627119864,10
"DKW",0.783956335404394,10
"DKW",0.813430974962597,10
"DKW",0.892105839715786,10
"DKW",0.190256837365963,10
"DKW",0.356627799931353,10
"DKW",0.630411536452967,10
"DKW",1,10
"DKW",0.95877609369044,10
"DKW",0.68567915466865,10
"DKW",0.179093074566026,10
"DKW",0.943299023131951,10
"DKW",0.875193467306201,10
"DKW",0.882356817326745,10
"DKW",0.864642466554398,10
"DKW",0.896010606042951,10
